"/home/fbiwadm/public_html/links/images_and_sound/webcams.html", ""
"#top", "Fast Null"
"http://www.lasy.gov.pl/bielik", "404"
"/home/fbiwadm/public_html/links/images_and_sound/digiscoping.html", ""
"#top", "Fast Null"
"/home/fbiwadm/public_html/links/images_and_sound/podcasts.html", ""
"#top", "Fast Null"
"http://www.birdwatchradio.com/podcast.htm", "404"
"/home/fbiwadm/public_html/links/images_and_sound/photos.html", ""
"#top", "Fast Null"
"mailto:BirdPhotos@yahoogroups.com", "Slow Null"
"mailto:BirdPhotos-owner@yahoogroups.com", "Slow Null"
"mailto:BirdPhotos-subscribe@yahoogroups.com", "Slow Null"
"mailto:birds-pix@yahoogroups.com", "Slow Null"
"mailto:birds-pix-owner@yahoogroups.com", "Slow Null"
"mailto:birds-pix-subscribe@yahoogroups.com", "Slow Null"
"http://www.fluffyfeathers.com", "Fast Null"
"http://www.duncanshawimages.com", "Fast Null"
"http://www.gazfoto.com", "Fast Null"
"/home/fbiwadm/public_html/links/images_and_sound/art_and_artists.html", ""
"#top", "Fast Null"
"http://www.wildlifeart1.co.uk/", "Fast Null"
"http://www.monpa.com/ba/index.html", "Fast Null"
"/home/fbiwadm/public_html/links/images_and_sound/bird_song.html", ""
"#top", "Fast Null"
"mailto:naturerecordists@yahoogroups.com", "Slow Null"
"mailto:naturerecordists-owner@yahoogroups.com", "Slow Null"
"mailto:naturerecordists-subscribe@yahoogroups.com", "Slow Null"
"http://blb.biosci.ohio-state.edu/", "Slow Null"
