"/home/fbiwadm/public_html/links_geo/america_canada/quebec.html", ""
"#top", "Fast Null"
"mailto:avimonde@yahoogroupes.fr", "Slow Null"
"mailto:avimonde-owner@yahoogroupes.fr", "Slow Null"
"mailto:avimonde-subscribe@yahoogroupes.fr", "Slow Null"
"/home/fbiwadm/public_html/links_geo/america_canada/prince_edward_island.html", ""
"#top", "Fast Null"
"/home/fbiwadm/public_html/links_geo/america_canada/nunavut.html", ""
"#top", "Fast Null"
"/home/fbiwadm/public_html/links_geo/america_canada/manitoba.html", ""
"#top", "Fast Null"
"mailto:Manitobabirds@yahoogroups.com", "Slow Null"
"mailto:Manitobabirds-owner@yahoogroups.com", "Slow Null"
"mailto:Manitobabirds-subscribe@yahoogroups.com", "Slow Null"
"/home/fbiwadm/public_html/links_geo/america_canada/new_brunswick.html", ""
"#top", "Fast Null"
"http://www.capejourimain.ca", "Fast Null"
"http://www.deborahcarr.ca/fundycoast/maryspt.htm", "404"
"http://www.photocanadadigital.com/", "Fast Null"
"/home/fbiwadm/public_html/links_geo/america_canada/british_columbia.html", ""
"#top", "Fast Null"
"http://www.waltonsbirdingandnaturetours.com/", "Fast Null"
"http://www.AmoreByTheSea.com", "403"
"mailto:bcbirdingvanisland@yahoogroups.com", "Slow Null"
"mailto:bcbirdingvanisland-owner@yahoogroups.com", "Slow Null"
"mailto:bcbirdingvanisland-subscribe@yahoogroups.com", "Slow Null"
"mailto:bcintbird@yahoogroups.com", "Slow Null"
"mailto:bcintbird-owner@yahoogroups.com", "Slow Null"
"mailto:bcintbird-subscribe@yahoogroups.com", "Slow Null"
"mailto:bcvanbirds@yahoogroups.com", "Slow Null"
"mailto:bcvanbirds-owner@yahoogroups.com", "Slow Null"
"mailto:bcvanbirds-subscribe@yahoogroups.com", "Slow Null"
"mailto:wkbirds@yahoogroups.com", "Slow Null"
"mailto:wkbirds-owner@yahoogroups.com", "Slow Null"
"mailto:wkbirds-subscribe@yahoogroups.com", "Slow Null"
"/home/fbiwadm/public_html/links_geo/america_canada/ontario.html", ""
"#top", "Fast Null"
"http://www.waltonsbirdingandnaturetours.com", "Fast Null"
"http://www.appleroute.com/visit/stay", "Fast Null"
"mailto:OntarioBirding@yahoogroups.com", "Slow Null"
"mailto:OntarioBirding-owner@yahoogroups.com", "Slow Null"
"mailto:OntarioBirding-subscribe@yahoogroups.com", "Slow Null"
"/home/fbiwadm/public_html/links_geo/america_canada/alberta.html", ""
"#top", "Fast Null"
"http://www.fanweb.ca/", "Fast Null"
"http://birdcomp.fanweb.ca", "Fast Null"
"http://rdrn.fanweb.ca/", "Fast Null"
"http://wagner.fanweb.ca/", "Fast Null"
"mailto:Albertabird@yahoogroups.com", "Slow Null"
"mailto:Albertabird-owner@yahoogroups.com", "Slow Null"
"mailto:Albertabird-subscribe@yahoogroups.com", "Slow Null"
"/home/fbiwadm/public_html/links_geo/america_canada/saskatchewan.html", ""
"#top", "Fast Null"
"http://www.waltonsbirdingandnaturetours.com/", "Fast Null"
"mailto:Saskbirds@yahoogroups.com", "Slow Null"
"mailto:Saskbirds-owner@yahoogroups.com", "Slow Null"
"mailto:Saskbirds-subscribe@yahoogroups.com", "Slow Null"
"mailto:SaskBirders@yahoogroups.com", "Slow Null"
"mailto:SaskBirders-owner@yahoogroups.com", "Slow Null"
"mailto:SaskBirders-subscribe@yahoogroups.com", "Slow Null"
"/home/fbiwadm/public_html/links_geo/america_canada/index.html", ""
"alberta.html", "Fast Null"
"british_columbia.html", "Fast Null"
"manitoba.html", "Fast Null"
"new_brunswick.html", "Fast Null"
"newfoundland.html", "Fast Null"
"nw_territory.html", "Fast Null"
"nova_scotia.html", "Fast Null"
"nunavut.html", "Fast Null"
"ontario.html", "Fast Null"
"prince_edward_island.html", "Fast Null"
"quebec.html", "Fast Null"
"saskatchewan.html", "Fast Null"
"yukon.html", "Fast Null"
"#top", "Fast Null"
"http://www.waltonsbirdingandnaturetours.com", "Fast Null"
"/home/fbiwadm/public_html/links_geo/america_canada/newfoundland.html", ""
"#top", "Fast Null"
"/home/fbiwadm/public_html/links_geo/america_canada/yukon.html", ""
"#top", "Fast Null"
"http://fieldguides.com/triplists/yuk10LIST.pdf", "404"
"/home/fbiwadm/public_html/links_geo/america_canada/nova_scotia.html", ""
"#top", "Fast Null"
"mailto:NS-RBA@yahoogroups.com", "Slow Null"
"mailto:NS-RBA-owner@yahoogroups.com", "Slow Null"
"mailto:NS-RBA-subscribe@yahoogroups.com", "Slow Null"
"/home/fbiwadm/public_html/links_geo/america_canada/nw_territory.html", ""
"#top", "Fast Null"
